Season,Round,Date,TeamHome,Result,TeamAway,Stadium,Referee,PlayersHome,RatingHome,PotentialHome,PlayersAway,RatingAway,PotentialAway
2016,2,26/08/2016,Betis,0-0,Deportivo de La Coruña,Benito Villamarín,Clos Gómez,"[['Adán', 'Piccini', 'Mandi', 'Pezzella', 'Durmisi', 'Fabián', 'Felipe Gutiérrez', 'Petros', 'Joaquín', 'Sanabria', 'Rubén Castro'], ['Cejudo', 'Dani Ceballos', 'Musonda', 'Dani Giménez', 'Bruno', 'Zozulya', 'Álex Alegría']]","[[80, 76, 78, 77, 70, 71, 75, 78, 78, 78, 81], [76, 77, 77, 70, 79, 76, 73]]","[[80, 83, 83, 83, 79, 81, 78, 80, 78, 88, 81], [76, 85, 88, 70, 83, 79, 80]]","[['Lux', 'Juanfran', 'Sidnei', 'Albentosa', 'Fernando Navarro', 'Guilherme', 'Fajr', 'Çolak', 'Mosquera', 'Bruno Gama', 'Andone'], ['Borja Valle', 'Borges', 'Luisinho', 'Tytoń', 'Carles Gil', 'Arribas', 'Laure']]","[[76, 77, 80, 77, 75, 75, 77, 78, 79, 76, 76], [72, 77, 75, 75, 77, 76, 74]]","[[76, 77, 82, 78, 75, 78, 77, 81, 79, 76, 82], [78, 77, 75, 75, 83, 78, 74]]"
2016,2,26/08/2016,Espanyol,2-2,Málaga,Power8 Stadium,Gil Manzano,"[['Roberto', 'Javi López', 'Álvaro', 'Duarte', 'Marc Roca', 'Javi Fuego', 'Hernán Pérez', 'Víctor Sánchez', 'Piatti', 'Leo Baptistão', 'Gerard Moreno'], ['Caicedo', 'Reyes', 'Diop', 'Pau López', 'Demichelis', 'Jurado', 'Aarón']]","[[80, 77, 77, 76, 71, 79, 78, 77, 78, 79, 77], [78, 78, 76, 73, 79, 78, 66]]","[[80, 77, 79, 77, 83, 79, 78, 77, 78, 84, 83], [78, 78, 76, 80, 79, 78, 76]]","[['Kameni', 'Rosales', 'Llorente', 'Koné', 'Ricca', 'Jony', 'Keko', 'Recio', 'Juanpi Añor', 'Camacho', 'Sandro'], ['Charles', 'Miguel Torres', 'En-Nesyri', 'Chori Castro', 'Kuzmanović', 'Aarón', 'Pablo Fornals']]","[[80, 77, 78, 76, 75, 78, 80, 78, 76, 81, 74], [78, 75, 69, 82, 76, 66, 76]]","[[80, 78, 86, 76, 83, 81, 86, 82, 86, 84, 82], [78, 75, 81, 82, 76, 76, 82]]"
2016,2,27/08/2016,Osasuna,0-2,Real Sociedad,Estadio El Sadar,Álvarez Izquierdo,"[['Nauzet', 'Javier Flaño', 'Unai García', 'Oier', 'David García', 'Miguel Flaño', 'Clerc', 'De las Cuevas', 'Fran Mérida', 'Jaime', 'Oriol Riera'], ['Buñuel', 'Sergio León', 'Kodro', 'Mario', 'Tano', 'Roberto Torres', 'Fausto']]","[[73, 70, 72, 74, 75, 75, 71, 74, 75, 72, 73], [70, 76, 70, 70, 73, 77, 72]]","[[73, 70, 79, 74, 83, 75, 76, 74, 77, 73, 73], [85, 77, 78, 72, 75, 78, 74]]","[['Rulli', 'Zaldúa', 'Iñigo Martínez', 'Mikel González', 'Yuri', 'Zurutuza', 'Rubén Pardo', 'Xabi Prieto', 'Illarramendi', 'Oyarzabal', 'Juanmi'], ['Carlos Vela', 'Markel Bergara', 'Elustondo', 'Toño Ramírez', 'Willian José', 'Héctor Hernández', 'Concha']]","[[83, 73, 81, 76, 77, 78, 77, 78, 79, 77, 75], [81, 76, 76, 68, 78, 72, 70]]","[[90, 79, 85, 76, 79, 78, 83, 78, 80, 85, 82], [81, 76, 84, 70, 84, 77, 82]]"
2016,2,27/08/2016,Eibar,1-0,Valencia,Estadio Municipal de Ipurua,Hernández Hernández,"[['Riesgo', 'Capa', 'Ramis', 'Gálvez', 'Luna', 'Pedro León', 'Dani García', 'Jota Peleteiro', 'Escalante', 'Kike García', 'Bebé'], ['Rubén Peña', 'Lejeune', 'Sergi Enrich', 'Yoel', 'Inui', 'Juncà', 'Adrián']]","[[75, 77, 76, 75, 74, 77, 78, 74, 78, 73, 76], [74, 76, 77, 72, 76, 75, 75]]","[[75, 83, 76, 76, 78, 77, 80, 77, 85, 75, 77], [77, 80, 79, 72, 76, 81, 75]]","[['Ryan', 'João Cancelo', 'Abdennour', 'Aderlan Santos', 'Gayà', 'Parejo', 'Enzo Pérez', 'Mario Suárez', 'Santi Mina', 'Rodrigo', 'Nani'], ['Medrán', 'Bakkali', 'Rafa Mir', 'Jaume', 'Rubén Vezo', 'Montoya', 'Carlos Soler']]","[[79, 79, 80, 76, 80, 82, 78, 79, 76, 78, 83], [77, 74, 65, 74, 77, 77, 67]]","[[84, 86, 82, 77, 85, 83, 78, 79, 83, 81, 83], [84, 82, 77, 78, 83, 80, 76]]"
2016,2,27/08/2016,Real Madrid,2-1,Celta de Vigo,Estadio Santiago Bernabeu,De Burgos Bengoetxea,"[['Casilla', 'Carvajal', 'Varane', 'Sergio Ramos', 'Marcelo', 'Modrić', 'Casemiro', 'Kroos', 'Morata', 'Asensio', 'Bale'], ['James Rodríguez', 'Lucas Vázquez', 'Mariano', 'Pepe', 'Kovačić', 'Danilo', 'Rubén Yáñez']]","[[80, 83, 84, 89, 86, 89, 82, 88, 82, 81, 90], [87, 81, 72, 88, 80, 80, 66]]","[[80, 86, 91, 89, 86, 89, 87, 90, 86, 89, 90], [92, 84, 81, 88, 86, 83, 74]]","[['Sergio Álvarez', 'Hugo Mallo', 'Roncaglia', 'Cabral', 'Jonny', 'Wass', 'Pablo Hernández', 'Radoja', 'Orellana', 'Guidetti', 'Bongonda'], ['Pione Sisto', 'Iago Aspas', 'Pape Cheikh', 'Sergi Gómez', 'Planas', 'Señé', 'Iván Villar']]","[[77, 80, 77, 80, 77, 80, 80, 78, 81, 76, 76], [74, 81, 66, 77, 75, 70, 64]]","[[77, 85, 77, 80, 83, 81, 80, 84, 81, 82, 86], [83, 81, 79, 85, 79, 76, 75]]"
2016,2,27/08/2016,Leganés,0-0,Atlético de Madrid,Estadio Municipal de Butarque,Sánchez Martínez,"[['Serantes', 'Víctor Díaz', 'Bustinza', 'Mantovani', 'Diego Rico', 'Rubén Pérez', 'Unai López', 'Gabriel', 'Alberto', 'Szymanowski', 'Guerrero'], ['Insua', 'Machís', 'Adrián Marín', 'Brignoli', 'Medjani', 'Sastre', 'Omar']]","[[76, 73, 69, 76, 75, 77, 72, 76, 71, 77, 73], [76, 73, 73, 71, 75, 71, 75]]","[[78, 73, 76, 76, 81, 78, 79, 81, 74, 77, 76], [82, 79, 83, 77, 75, 71, 75]]","[['Oblak', 'Juanfran', 'Savić', 'Godín', 'Filipe Luís', 'Gabi', 'Augusto', 'Saúl', 'Koke', 'Gameiro', 'Griezmann'], ['Gaitán', 'Carrasco', 'Fernando Torres', 'André Moreira', 'Correa', 'Vrsaljko', 'Giménez']]","[[87, 83, 82, 88, 85, 82, 81, 80, 84, 83, 88], [85, 82, 81, 70, 79, 78, 83]]","[[91, 83, 86, 88, 85, 82, 81, 88, 88, 83, 92], [85, 88, 81, 80, 88, 82, 88]]"
2016,2,28/08/2016,Las Palmas,5-1,Granada,Estadio de Gran Canaria,Ocón Arraiz,"[['Javi Varas', 'Míchel Macedo', 'Bigas', 'David García', 'Dani Castellano', 'Roque Mesa', 'Vicente Gómez', 'Jonathan Viera', 'Livaja', 'El Zhar', 'Boateng'], ['Momo', 'Tyronne', 'Araujo', 'Lizoain', 'David Simón', 'Montoro', 'Aythami']]","[[78, 76, 78, 76, 74, 80, 78, 81, 75, 77, 79], [72, 70, 75, 73, 76, 71, 76]]","[[78, 78, 81, 76, 74, 81, 78, 81, 81, 77, 79], [72, 73, 79, 75, 78, 71, 76]]","[['Ochoa', 'Tito', 'Lombán', 'Luís Martins', 'Gabriel Silva', 'Krhin', 'Boga', 'Agbo', 'Samper', 'Cuenca', 'Ponce'], ['Barral', 'Gastón Silva', 'Andreas Pereira', 'Oier Olazábal', 'Javi Márquez', 'Foulquier', 'Angban']]","[[79, 74, 75, 68, 72, 73, 72, 72, 74, 74, 72], [72, 74, 73, 70, 74, 71, 70]]","[[79, 74, 75, 72, 75, 75, 82, 81, 82, 77, 83], [72, 80, 81, 71, 74, 76, 78]]"
2016,2,28/08/2016,Alavés,0-0,Sporting de Gijón,Mendizorrotza,Munuera Montero,"[['Pacheco', 'Kiko Femenía', 'Laguardia', 'Alexis', 'Theo Hernández', 'Manu García', 'Dani Torres', 'Marcos Llorente', 'Deyverson', 'Edgar', 'Ibai Gómez'], ['Espinoza', 'Toquero', 'Christian Santos', 'Ortolà', 'Camarasa', 'Vigaray', 'Krstičić']]","[[77, 73, 76, 76, 72, 75, 77, 74, 76, 74, 75], [73, 72, 73, 69, 76, 71, 73]]","[[84, 76, 78, 76, 86, 75, 79, 85, 81, 77, 76], [83, 72, 73, 79, 84, 80, 76]]","[['Cuéllar', 'Lillo', 'Amorebieta', 'Meré', 'Isma López', 'Moi Gómez', 'Nacho Cases', 'Sergio Álvarez', 'Čop', 'Burgui', 'Víctor'], ['Babin', 'Xavi Torres', 'Carlos Castro', 'Mariño', 'Canella', 'Afif', 'Carmona']]","[[78, 72, 75, 76, 73, 74, 74, 77, 75, 74, 77], [74, 73, 73, 74, 70, 69, 72]]","[[78, 73, 75, 84, 75, 80, 75, 83, 77, 82, 78], [74, 73, 80, 78, 70, 78, 72]]"
2016,2,28/08/2016,Athletic Club,0-1,Barcelona,San Mamés,Mateu Lahoz,"[['Iraizoz', 'De Marcos', 'Bóveda', 'Laporte', 'Balenziaga', 'Susaeta', 'Iturraspe', 'Beñat', 'Eraso', 'Williams', 'Aduriz'], ['Raúl García', 'Vesga', 'Muniain', 'Lekue', 'Etxeita', 'Sabin Merino', 'Kepa']]","[[79, 81, 77, 84, 79, 78, 81, 82, 74, 80, 84], [81, 69, 78, 73, 79, 74, 75]]","[[79, 82, 78, 88, 79, 78, 82, 82, 76, 86, 84], [81, 76, 83, 81, 79, 80, 83]]","[['Ter Stegen', 'Sergi Roberto', 'Umtiti', 'Piqué', 'Jordi Alba', 'Arda Turan', 'Denis Suárez', 'Busquets', 'Rakitić', 'Messi', 'Luis Suárez'], ['André Gomes', 'Rafinha', 'Mascherano', 'Masip', 'Munir', 'Digne', 'Aleix Vidal']]","[[83, 79, 82, 86, 86, 84, 80, 87, 87, 93, 92], [84, 80, 85, 70, 75, 79, 77]]","[[88, 85, 87, 86, 87, 84, 87, 88, 87, 93, 92], [90, 85, 85, 71, 81, 84, 78]]"
2016,2,28/08/2016,Villarreal,0-0,Sevilla,El Madrigal,Del Cerro Grande,"[['Asenjo', 'Mario Gaspar', 'Víctor Ruiz', 'Musacchio', 'Jaume Costa', 'Bruno Soriano', 'Soriano', 'Manu Trigueros', 'Samu Castillejo', 'Sansone', 'Pato'], ['Santos Borré', ""N'Diaye"", 'Cantalapiedra', 'Andrés Fernández', 'José Ángel', 'Rukavina', 'Rodri']]","[[82, 80, 81, 83, 79, 83, 79, 80, 80, 79, 80], [75, 79, 68, 76, 74, 77, 68]]","[[84, 84, 82, 87, 79, 83, 82, 84, 87, 82, 81], [84, 81, 81, 76, 75, 77, 81]]","[['Sergio Rico', 'Mariano', 'Rami', 'Pareja', 'Kolodzciejczak', 'Sarabia', ""N'Zonzi"", 'Kiyotake', 'Franco Vázquez', 'Vitolo', 'Vietto'], ['Ben Yedder', 'Mercado', 'Iborra', 'Kranevitter', 'Correa', 'Ganso', 'Caro']]","[[80, 79, 82, 72, 60, 78, 82, 79, 82, 82, 79], [80, 76, 82, 77, 74, 81, 65]]","[[85, 79, 82, 72, 63, 82, 83, 81, 82, 82, 86], [83, 76, 82, 85, 82, 82, 72]]"
2016,3,09/09/2016,Real Sociedad,1-1,Espanyol,Anoeta,Iglesias Villanueva,"[['Rulli', 'Zaldúa', 'Iñigo Martínez', 'Mikel González', 'Yuri', 'Zurutuza', 'Rubén Pardo', 'Illarramendi', 'Oyarzabal', 'Willian José', 'Juanmi'], ['Xabi Prieto', 'Carlos Vela', 'Bardají', 'Markel Bergara', 'Elustondo', 'Héctor Hernández', 'Raúl Navas']]","[[83, 73, 81, 76, 77, 78, 77, 79, 77, 78, 75], [78, 81, 64, 76, 76, 72, 74]]","[[90, 79, 85, 76, 79, 78, 83, 80, 85, 84, 82], [78, 81, 70, 76, 84, 77, 75]]","[['Diego López', 'Javi López', 'David López', 'Duarte', 'Marc Roca', 'Javi Fuego', 'Hernán Pérez', 'Víctor Sánchez', 'Piatti', 'Leo Baptistão', 'Gerard Moreno'], ['Duarte', 'Salva Sevilla', 'Jurado', 'Roberto', 'Diop', 'Álvaro Vázquez', 'Diego Reyes']]","[[81, 77, 76, 76, 71, 79, 78, 77, 78, 79, 77], [76, 72, 78, 80, 76, 73, 77]]","[[81, 77, 77, 77, 83, 79, 78, 77, 78, 84, 83], [77, 72, 78, 80, 76, 77, 83]]"
2016,3,10/09/2016,Celta de Vigo,0-4,Atlético de Madrid,Balaidos,Jaime Latre,"[['Sergio Álvarez', 'Hugo Mallo', 'Cabral', 'Sergi Gómez', 'Jonny', 'Señé', 'Wass', 'Pablo Hernández', 'Radoja', 'Iago Aspas', 'Bongonda'], ['Pape Cheikh', 'Rossi', 'Pione Sisto', 'Lemos', 'Naranjo', 'Roncaglia', 'Iván Villar']]","[[77, 80, 80, 77, 77, 70, 80, 80, 78, 81, 76], [66, 79, 74, 70, 75, 77, 64]]","[[77, 85, 80, 85, 83, 76, 81, 80, 84, 81, 86], [79, 79, 83, 78, 85, 77, 75]]","[['Oblak', 'Juanfran', 'Savić', 'Godín', 'Filipe Luís', 'Gabi', 'Saúl', 'Koke', 'Carrasco', 'Griezmann', 'Fernando Torres'], ['Gameiro', 'Correa', 'Tiago', 'André Moreira', 'Lucas Hernández', 'Gaitán', 'Giménez']]","[[87, 83, 82, 88, 85, 82, 80, 84, 82, 88, 81], [83, 79, 81, 70, 76, 85, 83]]","[[91, 83, 86, 88, 85, 82, 88, 88, 88, 92, 81], [83, 88, 81, 80, 87, 85, 88]]"
2016,3,10/09/2016,Real Madrid,5-2,Osasuna,Estadio Santiago Bernabeu,Fernández Borbalán,"[['Casilla', 'Danilo', 'Nacho', 'Sergio Ramos', 'Pepe', 'Modrić', 'Kovačić', 'Kroos', 'Morata', 'Bale', 'Cristiano Ronaldo'], ['Benzema', 'Lucas Vázquez', 'Asensio', 'Rubén Yáñez', 'Carvajal', 'Varane', 'Mariano']]","[[80, 80, 78, 89, 88, 89, 80, 88, 82, 90, 94], [87, 81, 81, 66, 83, 84, 72]]","[[80, 83, 80, 89, 88, 89, 86, 90, 86, 90, 94], [87, 84, 89, 74, 86, 91, 81]]","[['Nauzet', 'Unai García', 'Fausto', 'Oier', 'David García', 'Miguel Flaño', 'Tano', 'Fuentes', 'De las Cuevas', 'Kodro', 'Rivière'], ['Oriol Riera', 'Jaime', 'Roberto Torres', 'Mario', 'Sergio León', 'Fran Mérida', 'Clerc']]","[[73, 72, 72, 74, 75, 75, 73, 72, 74, 70, 71], [73, 72, 77, 70, 76, 75, 71]]","[[73, 79, 74, 74, 83, 75, 75, 74, 74, 78, 73], [73, 73, 78, 72, 77, 77, 76]]"
